time_value,geo_value,cases,deaths,doctor_visits,wili,wcli
2020-11-16,26165,54.0,0.0,,,
2020-11-17,26165,22.0,3.0,,,
2020-11-18,26165,10.0,1.0,,,
2020-11-19,26165,18.0,1.0,,,
2020-11-20,26165,15.0,0.0,,,
2020-11-21,26165,11.0,0.0,,,
2020-11-22,26165,0.0,0.0,,,
2020-11-23,26165,55.0,1.0,,,
2020-11-24,26165,9.0,0.0,,,
2020-11-25,26165,16.0,0.0,,,
2020-11-26,26165,0.0,0.0,,,
2020-11-27,26165,57.0,0.0,,,
2020-11-28,26165,9.0,0.0,,,
2020-11-29,26165,0.0,0.0,,,
2020-11-30,26165,46.0,0.0,,,
2020-12-01,26165,16.0,2.0,,,
2020-12-02,26165,24.0,1.0,,,
2020-12-03,26165,5.0,0.0,,,
2020-12-04,26165,24.0,0.0,,,
2020-12-05,26165,16.0,0.0,,,
2020-12-06,26165,0.0,0.0,,,
2020-12-07,26165,20.0,0.0,,,
2020-12-08,26165,13.0,0.0,,,
2020-12-09,26165,13.0,0.0,,,
2020-12-10,26165,9.0,0.0,,,
2020-12-11,26165,31.0,0.0,,,
2020-12-12,26165,17.0,0.0,,,
2020-12-13,26165,0.0,0.0,,,
2020-12-14,26165,12.0,0.0,,,
2020-12-15,26165,14.0,0.0,,,
2020-12-16,26165,13.0,0.0,,,
2020-12-17,26165,21.0,0.0,,,
2020-12-18,26165,14.0,0.0,,,
2020-12-19,26165,15.0,0.0,,,
2020-12-20,26165,0.0,0.0,,,
2020-12-21,26165,3.0,0.0,,,
2020-12-22,26165,8.0,1.0,,,
2020-12-23,26165,10.0,0.0,,,
2020-12-24,26165,0.0,0.0,,,
2020-12-25,26165,0.0,0.0,,,
2020-12-26,26165,10.0,0.0,,,
2020-12-27,26165,0.0,0.0,,,
2020-12-28,26165,0.0,1.0,,,
2020-12-29,26165,14.0,0.0,,,
2020-12-30,26165,5.0,0.0,,,
2020-12-31,26165,0.0,0.0,,,
2021-01-01,26165,0.0,0.0,,,
2021-01-02,26165,22.0,2.0,,,
2021-01-03,26165,0.0,0.0,,,
2021-01-04,26165,12.0,0.0,,,
2021-01-05,26165,12.0,0.0,,,
2021-01-06,26165,17.0,0.0,,,
2021-01-07,26165,23.0,0.0,,,
2021-01-08,26165,12.0,0.0,,,
2021-01-09,26165,4.0,0.0,,,
2021-01-10,26165,0.0,0.0,,,
2021-01-11,26165,26.0,0.0,,,
2021-01-12,26165,3.0,0.0,,,
2021-01-13,26165,2.0,0.0,,,
2021-01-14,26165,21.0,0.0,,,
2021-01-15,26165,16.0,0.0,,,
2021-01-16,26165,7.0,0.0,,,
2021-01-17,26165,0.0,0.0,,,
2021-01-18,26165,25.0,-1.0,,,
2021-01-19,26165,0.0,1.0,,,
2021-01-20,26165,13.0,-1.0,,,
2021-01-21,26165,4.0,0.0,,,
2021-01-22,26165,15.0,0.0,,,
2021-01-23,26165,10.0,0.0,,,
2021-01-24,26165,0.0,0.0,,,
2021-01-25,26165,16.0,0.0,,,
2021-01-26,26165,11.0,1.0,,,
2021-01-27,26165,10.0,0.0,,,
2021-01-28,26165,13.0,0.0,,,
2021-01-29,26165,6.0,0.0,,,
2021-01-30,26165,10.0,0.0,,,
2021-01-31,26165,0.0,0.0,,,
2021-02-01,26165,18.0,0.0,,,
2021-02-02,26165,5.0,0.0,,,
2021-02-03,26165,8.0,0.0,,,
2021-02-04,26165,8.0,0.0,,,
2021-02-05,26165,2.0,0.0,,,
2021-02-06,26165,1.0,0.0,,,
2021-02-07,26165,0.0,0.0,,,
2021-02-08,26165,6.0,0.0,,,
2021-02-09,26165,5.0,0.0,,,
2021-02-10,26165,5.0,0.0,,,
2021-02-11,26165,8.0,0.0,,,
2021-02-12,26165,16.0,0.0,,,
2021-02-13,26165,9.0,0.0,,,
2021-02-14,26165,0.0,0.0,,,
2021-02-15,26165,8.0,0.0,,,
2021-02-16,26165,7.0,0.0,,,
2021-02-17,26165,4.0,0.0,,,
2021-02-18,26165,3.0,0.0,,,
2021-02-19,26165,5.0,0.0,,,
2021-02-20,26165,0.0,0.0,,,
2021-02-21,26165,0.0,0.0,,,
2021-02-22,26165,0.0,0.0,,,
2021-02-23,26165,0.0,0.0,,,
2021-02-24,26165,0.0,0.0,,,
2021-02-25,26165,9.0,0.0,,,
2021-02-26,26165,8.0,0.0,,,
2021-02-27,26165,10.0,0.0,,,
2021-02-28,26165,0.0,0.0,,,
2021-03-01,26165,5.0,0.0,,,
2021-03-02,26165,5.0,0.0,,,
2021-03-03,26165,6.0,0.0,,,
2021-03-04,26165,4.0,0.0,,,
2021-03-05,26165,7.0,0.0,,,
2021-03-06,26165,9.0,1.0,,,
2021-03-07,26165,0.0,0.0,,,
2021-03-08,26165,11.0,0.0,,,
2021-03-09,26165,1.0,0.0,,,
2021-03-10,26165,13.0,0.0,,,
2021-03-11,26165,31.0,0.0,,,
2021-03-12,26165,17.0,0.0,,,
2021-03-13,26165,19.0,0.0,,,
2021-03-14,26165,0.0,0.0,,,
2021-03-15,26165,32.0,0.0,,,
2021-03-16,26165,42.0,1.0,,,
2021-03-17,26165,30.0,0.0,,,
2021-03-18,26165,40.0,0.0,,,
2021-03-19,26165,49.0,0.0,,,
2021-03-20,26165,14.0,0.0,,,
2021-03-21,26165,0.0,0.0,,,
2021-03-22,26165,41.0,0.0,,,
2021-03-23,26165,6.0,0.0,,,
2021-03-24,26165,53.0,2.0,,,
2021-03-25,26165,32.0,0.0,,,
2021-03-26,26165,28.0,0.0,,,
2021-03-27,26165,30.0,0.0,,,
2021-03-28,26165,0.0,0.0,,,
2021-03-29,26165,41.0,0.0,,,
2021-03-30,26165,11.0,1.0,,,
2021-03-31,26165,16.0,0.0,,,
2021-04-01,26165,19.0,0.0,,,
2021-04-02,26165,14.0,0.0,,,
2021-04-03,26165,37.0,0.0,,,
2021-04-04,26165,0.0,0.0,,,
2021-04-05,26165,48.0,0.0,,,
2021-04-06,26165,17.0,3.0,,,
2021-04-07,26165,32.0,0.0,,,
2021-04-08,26165,36.0,0.0,,,
2021-04-09,26165,40.0,0.0,,,
2021-04-10,26165,32.0,0.0,,,
2021-04-11,26165,0.0,0.0,,,
2021-04-12,26165,38.0,0.0,,,
2021-04-13,26165,42.0,2.0,,,
2021-04-14,26165,34.0,0.0,,,
2021-04-15,26165,35.0,3.0,,,
2021-04-16,26165,24.0,1.0,,,
2021-04-17,26165,29.0,0.0,,,
2021-04-18,26165,0.0,0.0,,,
2021-04-19,26165,26.0,0.0,,,
2021-04-20,26165,0.0,0.0,,,
2021-04-21,26165,31.0,0.0,,,
2021-04-22,26165,15.0,1.0,,,
2021-04-23,26165,23.0,0.0,,,
2021-04-24,26165,14.0,1.0,,,
2021-04-25,26165,0.0,0.0,,,
2021-04-26,26165,16.0,0.0,,,
2021-04-27,26165,8.0,0.0,,,
2021-04-28,26165,23.0,0.0,,,
2021-04-29,26165,7.0,2.0,,,
2021-04-30,26165,9.0,0.0,,,
2021-05-01,26165,15.0,1.0,,,
2021-05-02,26165,0.0,0.0,,,
2021-05-03,26165,17.0,1.0,,,
2021-05-04,26165,19.0,0.0,,,
2021-05-05,26165,16.0,0.0,,,
2021-05-06,26165,17.0,2.0,,,
2021-05-07,26165,12.0,0.0,,,
2021-05-08,26165,12.0,0.0,,,
2021-05-09,26165,0.0,0.0,,,
2021-05-10,26165,8.0,0.0,,,
2021-05-11,26165,3.0,1.0,,,
2021-05-12,26165,9.0,0.0,,,
2021-05-13,26165,12.0,1.0,,,
2021-05-14,26165,9.0,1.0,,,
2021-05-15,26165,5.0,0.0,,,
2021-05-16,26165,0.0,0.0,,,
2021-05-17,26165,5.0,0.0,,,
2021-05-18,26165,10.0,0.0,,,
2021-05-19,26165,7.0,0.0,,,
2021-05-20,26165,2.0,2.0,,,
2021-05-21,26165,2.0,0.0,,,
2021-05-22,26165,2.0,0.0,,,
2021-05-23,26165,0.0,0.0,,,
2021-05-24,26165,2.0,0.0,,,
2021-05-25,26165,2.0,0.0,,,
2021-05-26,26165,6.0,0.0,,,
2021-05-27,26165,4.0,0.0,,,
2021-05-28,26165,0.0,0.0,,,
2021-05-29,26165,0.0,0.0,,,
2021-05-30,26165,0.0,0.0,,,
2021-05-31,26165,0.0,0.0,,,
2021-06-01,26165,1.0,0.0,,,
2021-06-02,26165,0.0,0.0,,,
2021-06-03,26165,2.0,0.0,,,
2021-06-04,26165,0.0,0.0,,,
2021-06-05,26165,1.0,0.0,,,
2021-06-06,26165,0.0,0.0,,,
2021-06-07,26165,0.0,0.0,,,
2021-06-08,26165,0.0,0.0,,,
2021-06-09,26165,1.0,0.0,,,
2021-06-10,26165,1.0,0.0,,,
2021-06-11,26165,1.0,0.0,,,
2021-06-12,26165,0.0,0.0,,,
2021-06-13,26165,0.0,0.0,,,
2021-06-14,26165,3.0,0.0,,,
2021-06-15,26165,0.0,0.0,,,
2021-06-16,26165,2.0,0.0,,,
2021-06-17,26165,0.0,0.0,,,
2021-06-18,26165,0.0,0.0,,,
2021-06-19,26165,0.0,0.0,,,
2021-06-20,26165,0.0,0.0,,,
2021-06-21,26165,2.0,0.0,,,
2021-06-22,26165,0.0,0.0,,,
2021-06-23,26165,3.0,0.0,,,
2021-06-24,26165,1.0,0.0,,,
2021-06-25,26165,0.0,1.0,,,
2021-06-26,26165,0.0,0.0,,,
2021-06-27,26165,0.0,0.0,,,
2021-06-28,26165,0.0,0.0,,,
2021-06-29,26165,0.0,0.0,,,
2021-06-30,26165,1.0,0.0,,,
2021-07-01,26165,0.0,0.0,,,
2021-07-02,26165,1.0,0.0,,,
2021-07-03,26165,0.0,0.0,,,
2021-07-04,26165,0.0,0.0,,,
2021-07-05,26165,0.0,0.0,,,
2021-07-06,26165,0.0,0.0,,,
2021-07-07,26165,0.0,0.0,,,
2021-07-08,26165,0.0,0.0,,,
2021-07-09,26165,1.0,0.0,,,
2021-07-10,26165,0.0,0.0,,,
2021-07-11,26165,0.0,0.0,,,
2021-07-12,26165,0.0,0.0,,,
2021-07-13,26165,1.0,0.0,,,
2021-07-14,26165,0.0,0.0,,,
2021-07-15,26165,0.0,0.0,,,
2021-07-16,26165,1.0,0.0,,,
2021-07-17,26165,0.0,0.0,,,
2021-07-18,26165,0.0,0.0,,,
2021-07-19,26165,0.0,0.0,,,
2021-07-20,26165,0.0,0.0,,,
2021-07-21,26165,0.0,0.0,,,
2021-07-22,26165,0.0,0.0,,,
2021-07-23,26165,3.0,0.0,,,
2021-07-24,26165,0.0,0.0,,,
2021-07-25,26165,0.0,0.0,,,
2021-07-26,26165,0.0,0.0,,,
2021-07-27,26165,5.0,0.0,,,
2021-07-28,26165,0.0,0.0,,,
2021-07-29,26165,0.0,0.0,,,
2021-07-30,26165,6.0,0.0,,,
2021-07-31,26165,0.0,0.0,,,
2021-08-01,26165,0.0,0.0,,,
2021-08-02,26165,0.0,0.0,,,
2021-08-03,26165,4.0,0.0,,,
2021-08-04,26165,0.0,0.0,,,
2021-08-05,26165,0.0,0.0,,,
2021-08-06,26165,7.0,0.0,,,
2021-08-07,26165,0.0,0.0,,,
2021-08-08,26165,0.0,0.0,,,
2021-08-09,26165,1.0,0.0,,,
2021-08-10,26165,0.0,0.0,,,
2021-08-11,26165,5.0,0.0,,,
2021-08-12,26165,0.0,0.0,,,
2021-08-13,26165,4.0,0.0,,,
2021-08-14,26165,0.0,0.0,,,
2021-08-15,26165,0.0,0.0,,,
2021-08-16,26165,4.0,0.0,,,
2021-08-17,26165,0.0,0.0,,,
2021-08-18,26165,7.0,0.0,,,
2021-08-19,26165,0.0,0.0,,,
2021-08-20,26165,9.0,0.0,,,
2021-08-21,26165,0.0,0.0,,,
2021-08-22,26165,0.0,0.0,,,
2021-08-23,26165,5.0,0.0,,,
2021-08-24,26165,0.0,0.0,,,
2021-08-25,26165,5.0,0.0,,,
2021-08-26,26165,0.0,0.0,,,
2021-08-27,26165,7.0,0.0,,,
2021-08-28,26165,0.0,0.0,,,
2021-08-29,26165,0.0,0.0,,,
2021-08-30,26165,11.0,0.0,,,
2021-08-31,26165,0.0,0.0,,,
2021-09-01,26165,8.0,1.0,,,
2021-09-02,26165,0.0,0.0,,,
2021-09-03,26165,8.0,0.0,,,
2021-09-04,26165,0.0,0.0,,,
2021-09-05,26165,0.0,0.0,,,
2021-09-06,26165,0.0,0.0,,,
2021-09-07,26165,8.0,1.0,,,
2021-09-08,26165,1.0,0.0,,,
2021-09-09,26165,0.0,0.0,,,
2021-09-10,26165,15.0,0.0,,,
2021-09-11,26165,0.0,0.0,,,
2021-09-12,26165,0.0,0.0,,,
2021-09-13,26165,14.0,0.0,,,
2021-09-14,26165,0.0,0.0,,,
2021-09-15,26165,20.0,0.0,,,
2021-09-16,26165,0.0,0.0,,,
2021-09-17,26165,8.0,0.0,,,
2021-09-18,26165,0.0,0.0,,,
2021-09-19,26165,0.0,0.0,,,
2021-09-20,26165,27.0,0.0,,,
2021-09-21,26165,0.0,0.0,,,
2021-09-22,26165,21.0,0.0,,,
2021-09-23,26165,0.0,0.0,,,
2021-09-24,26165,23.0,0.0,,,
2021-09-25,26165,0.0,0.0,,,
2021-09-26,26165,0.0,0.0,,,
2021-09-27,26165,32.0,0.0,,,
2021-09-28,26165,0.0,0.0,,,
2021-09-29,26165,58.0,0.0,,,
2021-09-30,26165,0.0,0.0,,,
2021-10-01,26165,27.0,0.0,,,
2021-10-02,26165,0.0,0.0,,,
2021-10-03,26165,0.0,0.0,,,
2021-10-04,26165,38.0,0.0,,,
2021-10-05,26165,0.0,0.0,,,
2021-10-06,26165,37.0,1.0,,,
2021-10-07,26165,0.0,0.0,,,
2021-10-08,26165,43.0,0.0,,,
2021-10-09,26165,0.0,0.0,,,
2021-10-10,26165,0.0,0.0,,,
2021-10-11,26165,18.0,0.0,,,
2021-10-12,26165,0.0,0.0,,,
2021-10-13,26165,38.0,0.0,,,
2021-10-14,26165,0.0,0.0,,,
2021-10-15,26165,46.0,0.0,,,
2021-10-16,26165,0.0,0.0,,,
2021-10-17,26165,0.0,0.0,,,
2021-10-18,26165,48.0,0.0,,,
2021-10-19,26165,0.0,0.0,,,
2021-10-20,26165,37.0,0.0,,,
2021-10-21,26165,0.0,0.0,,,
2021-10-22,26165,37.0,1.0,,,
2021-10-23,26165,0.0,0.0,,,
2021-10-24,26165,0.0,0.0,,,
2021-10-25,26165,39.0,0.0,,,
2021-10-26,26165,0.0,0.0,,,
2021-10-27,26165,43.0,1.0,,,
2021-10-28,26165,0.0,0.0,,,
2021-10-29,26165,55.0,0.0,,,
2021-10-30,26165,0.0,0.0,,,
2021-10-31,26165,0.0,0.0,,,
2021-11-01,26165,38.0,0.0,,,
2021-11-02,26165,0.0,0.0,,,
2021-11-03,26165,41.0,2.0,,,
2021-11-04,26165,0.0,0.0,,,
2021-11-05,26165,66.0,0.0,,,
2021-11-06,26165,0.0,0.0,,,
2021-11-07,26165,0.0,0.0,,,
2021-11-08,26165,49.0,2.0,,,
2021-11-09,26165,0.0,0.0,,,
2021-11-10,26165,31.0,1.0,,,
2021-11-11,26165,0.0,0.0,,,
2021-11-12,26165,62.0,0.0,,,
