time_value,geo_value,cases,deaths,doctor_visits,wili,wcli
2021-05-16,182945,15.0,4.0,0.0,0.0,0.0
2021-05-23,182945,20.0,0.0,0.0,0.0,0.0
2021-05-30,182945,19.0,1.0,0.0,0.0,0.0
2021-06-06,182945,10.0,1.0,0.0,0.0,0.0
2021-06-13,182945,4.0,0.0,0.0,0.0,0.0
2021-06-20,182945,1.0,0.0,0.0,0.0,0.0
2021-06-27,182945,0.0,0.0,0.0,0.0,0.0
2021-07-04,182945,0.0,0.0,0.0,0.0,0.0
2021-07-11,182945,1.0,0.0,0.0,0.0,0.0
2021-07-18,182945,0.0,0.0,0.0,0.0,0.0
2021-07-25,182945,2.0,0.0,0.0,0.0,0.0
2021-08-01,182945,1.0,0.0,0.0,0.0,0.0
2021-08-08,182945,1.0,0.0,0.0,0.0,0.0
2021-08-15,182945,4.0,0.0,0.0,0.0,0.0
2021-08-22,182945,6.0,0.0,0.0,0.0,0.0
2021-08-29,182945,8.0,0.0,0.0,0.0,0.0
2021-09-05,182945,16.0,0.0,0.0,0.0,0.0
2021-09-12,182945,9.0,0.0,0.0,0.0,0.0
2021-09-19,182945,21.0,0.0,0.0,0.0,0.0
2021-09-26,182945,27.0,0.0,0.0,0.0,0.0
2021-10-03,182945,44.0,1.0,0.0,0.0,0.0
2021-10-10,182945,37.0,0.0,0.0,0.0,0.0
2021-10-17,182945,35.0,1.0,0.0,0.0,0.0
2021-10-24,182945,39.0,1.0,0.0,0.0,0.0
2021-10-31,182945,23.0,4.0,0.0,0.0,0.0
2021-11-07,182945,40.0,1.0,0.0,0.0,0.0
2021-11-14,130675,24.0,1.0,0.0,0.0,0.0
2021-11-21,0,0.0,0.0,0.0,0.0,0.0
2021-11-28,0,0.0,0.0,0.0,0.0,0.0
2021-12-05,0,0.0,0.0,0.0,0.0,0.0
2021-12-12,0,0.0,0.0,0.0,0.0,0.0
2021-12-19,0,0.0,0.0,0.0,0.0,0.0
2021-12-26,0,0.0,0.0,0.0,0.0,0.0
2022-01-02,0,0.0,0.0,0.0,0.0,0.0
2022-01-09,0,0.0,0.0,0.0,0.0,0.0
2022-01-16,0,0.0,0.0,0.0,0.0,0.0
2022-01-23,0,0.0,0.0,0.0,0.0,0.0
2022-01-30,0,0.0,0.0,0.0,0.0,0.0
2022-02-06,0,0.0,0.0,0.0,0.0,0.0
2022-02-13,0,0.0,0.0,0.0,0.0,0.0
2022-02-20,0,0.0,0.0,0.0,0.0,0.0
2022-02-27,0,0.0,0.0,0.0,0.0,0.0
2022-03-06,0,0.0,0.0,0.0,0.0,0.0
2022-03-13,0,0.0,0.0,0.0,0.0,0.0
2022-03-20,0,0.0,0.0,0.0,0.0,0.0
2022-03-27,0,0.0,0.0,0.0,0.0,0.0
2022-04-03,0,0.0,0.0,0.0,0.0,0.0
2022-04-10,0,0.0,0.0,0.0,0.0,0.0
2022-04-17,0,0.0,0.0,0.0,0.0,0.0
2022-04-24,0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0,0.0,0.0,0.0,0.0,0.0
2022-05-08,0,0.0,0.0,0.0,0.0,0.0
2022-05-15,0,0.0,0.0,0.0,0.0,0.0
2022-05-22,0,0.0,0.0,0.0,0.0,0.0
2022-05-29,0,0.0,0.0,0.0,0.0,0.0
2022-06-05,0,0.0,0.0,0.0,0.0,0.0
2022-06-12,0,0.0,0.0,0.0,0.0,0.0
2022-06-19,0,0.0,0.0,0.0,0.0,0.0
2022-06-26,0,0.0,0.0,0.0,0.0,0.0
2022-07-03,0,0.0,0.0,0.0,0.0,0.0
2022-07-10,0,0.0,0.0,0.0,0.0,0.0
2022-07-17,0,0.0,0.0,0.0,0.0,0.0
2022-07-24,0,0.0,0.0,0.0,0.0,0.0
2022-07-31,0,0.0,0.0,0.0,0.0,0.0
2022-08-07,0,0.0,0.0,0.0,0.0,0.0
2022-08-14,0,0.0,0.0,0.0,0.0,0.0
2022-08-21,0,0.0,0.0,0.0,0.0,0.0
2022-08-28,0,0.0,0.0,0.0,0.0,0.0
2022-09-04,0,0.0,0.0,0.0,0.0,0.0
2022-09-11,0,0.0,0.0,0.0,0.0,0.0
2022-09-18,0,0.0,0.0,0.0,0.0,0.0
2022-09-25,0,0.0,0.0,0.0,0.0,0.0
2022-10-02,0,0.0,0.0,0.0,0.0,0.0
2022-10-09,0,0.0,0.0,0.0,0.0,0.0
2022-10-16,0,0.0,0.0,0.0,0.0,0.0
2022-10-23,0,0.0,0.0,0.0,0.0,0.0
2022-10-30,0,0.0,0.0,0.0,0.0,0.0
2022-11-06,0,0.0,0.0,0.0,0.0,0.0
2022-11-13,0,0.0,0.0,0.0,0.0,0.0
2022-11-20,0,0.0,0.0,0.0,0.0,0.0
2022-11-27,0,0.0,0.0,0.0,0.0,0.0
2022-12-04,0,0.0,0.0,0.0,0.0,0.0
2022-12-11,0,0.0,0.0,0.0,0.0,0.0
2022-12-18,0,0.0,0.0,0.0,0.0,0.0
2022-12-25,0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0,0.0,0.0,0.0,0.0,0.0
2023-01-08,0,0.0,0.0,0.0,0.0,0.0
2023-01-15,0,0.0,0.0,0.0,0.0,0.0
2023-01-22,0,0.0,0.0,0.0,0.0,0.0
2023-01-29,0,0.0,0.0,0.0,0.0,0.0
2023-02-05,0,0.0,0.0,0.0,0.0,0.0
2023-02-12,0,0.0,0.0,0.0,0.0,0.0
2023-02-19,0,0.0,0.0,0.0,0.0,0.0
2023-02-26,0,0.0,0.0,0.0,0.0,0.0
2023-03-05,0,0.0,0.0,0.0,0.0,0.0
2023-03-12,0,0.0,0.0,0.0,0.0,0.0
2023-03-19,0,0.0,0.0,0.0,0.0,0.0
2023-03-26,0,0.0,0.0,0.0,0.0,0.0
2023-04-02,0,0.0,0.0,0.0,0.0,0.0
2023-04-09,0,0.0,0.0,0.0,0.0,0.0
2023-04-16,0,0.0,0.0,0.0,0.0,0.0
2023-04-23,0,0.0,0.0,0.0,0.0,0.0
2023-04-30,0,0.0,0.0,0.0,0.0,0.0
2023-05-07,0,0.0,0.0,0.0,0.0,0.0
2023-05-14,0,0.0,0.0,0.0,0.0,0.0
2023-05-21,26135,0.0,0.0,0.0,0.0,0.0
